Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
1,94.0,202,0.03564170000026934,"[1, 1, 2, 2, 0, 2, 2, 2, 2, 0, 1, 2, 1, 2, 0, 2, 2, 1, 0, 2, 1, 1, 1, 1, 2, 2, 1, 2, 0, 2, 2, 2, 1, 1, 2, 2, 2, 2, 1, 0, 2, 1, 2, 1, 0, 2, 1, 1, 0, 2]",5,4096,1
2,94.0,203,0.03773889999865787,"[1, 1, 2, 2, 0, 2, 2, 2, 2, 0, 1, 2, 1, 2, 0, 2, 2, 1, 0, 2, 1, 1, 1, 1, 2, 2, 1, 2, 0, 2, 2, 2, 1, 1, 2, 2, 2, 2, 1, 0, 2, 1, 2, 1, 0, 2, 1, 1, 0, 2]",5,4096,1
4,94.0,205,0.03950450000411365,"[1, 1, 2, 2, 0, 2, 2, 2, 2, 0, 1, 2, 1, 2, 0, 2, 2, 1, 0, 2, 1, 1, 1, 1, 2, 2, 1, 2, 0, 2, 2, 2, 1, 1, 2, 2, 2, 2, 1, 0, 2, 1, 2, 1, 0, 2, 1, 1, 0, 2]",5,4096,1
8,98.0,211,0.0413676000025589,"[1, 1, 2, 2, 0, 2, 2, 2, 2, 0, 1, 2, 0, 2, 0, 2, 2, 1, 0, 2, 1, 1, 1, 1, 2, 2, 1, 0, 0, 2, 2, 2, 1, 1, 2, 2, 2, 2, 1, 0, 2, 1, 2, 1, 0, 2, 1, 1, 0, 2]",5,4096,1
16,104.0,222,0.043735999999626074,"[1, 2, 2, 2, 0, 2, 2, 2, 2, 0, 0, 2, 0, 2, 0, 2, 2, 1, 0, 2, 1, 1, 1, 1, 2, 2, 1, 0, 0, 2, 2, 2, 1, 1, 2, 2, 0, 2, 1, 0, 2, 1, 2, 1, 0, 2, 1, 1, 0, 2]",5,4096,1
32,117.0,243,0.04702450000331737,"[1, 2, 2, 2, 0, 2, 2, 2, 2, 0, 0, 2, 0, 2, 0, 2, 2, 1, 0, 2, 1, 1, 1, 0, 1, 0, 1, 0, 0, 2, 2, 2, 1, 1, 2, 2, 0, 2, 1, 0, 2, 1, 2, 1, 0, 0, 1, 1, 0, 1]",5,4096,1
64,123.0,279,0.05245999999897322,"[1, 2, 2, 2, 0, 2, 2, 2, 2, 0, 0, 2, 0, 2, 0, 2, 2, 1, 0, 2, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 2, 2, 1, 1, 2, 1, 0, 2, 1, 0, 1, 1, 2, 2, 0, 0, 1, 1, 0, 1]",5,4096,1
128,131.0,349,0.06292340000072727,"[1, 2, 0, 2, 0, 1, 2, 2, 2, 0, 0, 2, 0, 2, 0, 0, 0, 1, 0, 2, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 2, 2, 1, 1, 2, 1, 0, 2, 1, 0, 1, 1, 2, 2, 0, 0, 1, 1, 0, 1]",5,4096,1
256,132.0,478,0.08400280000205385,"[1, 2, 0, 2, 0, 1, 2, 2, 2, 0, 0, 2, 0, 2, 0, 0, 0, 1, 0, 2, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 2, 2, 1, 1, 2, 1, 0, 2, 1, 0, 1, 1, 2, 2, 0, 0, 1, 1, 0, 1]",5,4096,1
512,132.0,485,0.08888229999865871,"[1, 2, 0, 2, 0, 1, 2, 2, 2, 0, 0, 2, 0, 2, 0, 0, 0, 1, 0, 2, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 2, 2, 1, 1, 2, 1, 0, 2, 1, 0, 1, 1, 2, 2, 0, 0, 1, 1, 0, 1]",5,4096,1
1024,132.0,485,0.08888229999865871,"[1, 2, 0, 2, 0, 1, 2, 2, 2, 0, 0, 2, 0, 2, 0, 0, 0, 1, 0, 2, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 2, 2, 1, 1, 2, 1, 0, 2, 1, 0, 1, 1, 2, 2, 0, 0, 1, 1, 0, 1]",5,4096,1
2048,132.0,485,0.08888229999865871,"[1, 2, 0, 2, 0, 1, 2, 2, 2, 0, 0, 2, 0, 2, 0, 0, 0, 1, 0, 2, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 2, 2, 1, 1, 2, 1, 0, 2, 1, 0, 1, 1, 2, 2, 0, 0, 1, 1, 0, 1]",5,4096,1
4096,132.0,485,0.08888229999865871,"[1, 2, 0, 2, 0, 1, 2, 2, 2, 0, 0, 2, 0, 2, 0, 0, 0, 1, 0, 2, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 2, 2, 1, 1, 2, 1, 0, 2, 1, 0, 1, 1, 2, 2, 0, 0, 1, 1, 0, 1]",5,4096,1
0,96.0,485,0.09071119999862276,"[0, 0, 2, 2, 0, 0, 2, 2, 1, 0, 2, 1, 0, 2, 1, 1, 0, 2, 0, 2, 0, 0, 2, 2, 0, 2, 0, 2, 1, 1, 2, 1, 2, 1, 0, 1, 0, 0, 1, 1, 1, 1, 2, 1, 1, 1, 0, 2, 1, 1]",5,4096,2
